theoretical_quantile,sample_quantile,reference_line
-1.6621258145951134,-0.02311651018057027,-0.020998523587641885
-1.6591561933024295,-0.023063787919779623,-0.020961004073776986
-1.6562011318524943,-0.022950930309925306,-0.02092366851542966
-1.6532604626155645,-0.022930895903695965,-0.020886514794691304
-1.6503340208959636,-0.022797623817241344,-0.020849540830723615
-1.647421644863265,-0.022669334218926675,-0.020812744578889136
-1.644523175485486,-0.022654283522252495,-0.020776124029907195
-1.6416384564642366,-0.022575647874656088,-0.02073967720903453
-1.6387673341717375,-0.02241095381752006,-0.020703402175269576
-1.6359096575896674,-0.022356297891934655,-0.020667297020579813
-1.6330652782497432,-0.022220003891332735,-0.020631359869151034
-1.6302340501760075,-0.022133896880005752,-0.02059558887665818
-1.6274158298287387,-0.02213087822256119,-0.020559982229556687
-1.624610476049945,-0.02207104936644085,-0.020524538144393804
-1.621817850010383,-0.02197231798727599,-0.020489254867139244
-1.6190378151580482,-0.02183004531608012,-0.020454130672534352
-1.6162702371680897,-0.02175254239494603,-0.02041916386345932
-1.613514983894108,-0.02167310178328019,-0.020384352770317866
-1.6107719253207775,-0.021599316237322017,-0.02034969575043865
-1.608040933517763,-0.021582739178124918,-0.02031519118749301
-1.6053218825948812,-0.02155030162682326,-0.020280837490928485
-1.602614648658467,-0.021464146277044925,-0.020246633095417497
-1.5999191097689078,-0.021443676510930987,-0.020212576460320843
-1.59723514589931,-0.02134900318319383,-0.020178666069165463
-1.5945626388952567,-0.021330232816559713,-0.020144900429135998
-1.5919014724356242,-0.02127329365373066,-0.02011127807057972
-1.5892515319944251,-0.021272955188933927,-0.02007779754652446
-1.5866127048036485,-0.02126590266986932,-0.020044457432209097
-1.583984879817054,-0.0211717239398792,-0.020011256324626137
-1.5813679476749092,-0.021080273743253844,-0.01997819284207616
-1.5787618006696222,-0.020964002252011657,-0.019945265623733634
-1.5761663327122564,-0.020924938603968195,-0.019912473329223825
-1.5735814392998881,-0.020924615787200857,-0.01987981463821041
-1.5710070174837971,-0.020900317155012935,-0.01984728824999354
-1.5684429658384458,-0.020834740281861885,-0.019814892883117947
-1.5658891844312381,-0.02069721740584339,-0.019782627274990843
-1.5633455747930318,-0.020683612003313593,-0.01975049018150937
-1.5608120398893748,-0.020609197436321416,-0.01971848037669717
-1.5582884840924516,-0.02045336998710315,-0.019686596652349973
-1.5557748131537184,-0.020429426437153633,-0.01965483781768983
-1.5532709341771969,-0.020302724935765966,-0.01962320269902771
-1.5507767555934266,-0.02022584953734784,-0.01959169013943439
-1.548292187134035,-0.020151848517210837,-0.019560298998419174
-1.5458171398069243,-0.020000785792689886,-0.01952902815161639
-1.5433515258720445,-0.019923156066287997,-0.01949787649047929
-1.5408952588177518,-0.019907785474864742,-0.01946684292198136
-1.5384482533377128,-0.019849264608491842,-0.019435926368324506
-1.5360104253083655,-0.01982542835648539,-0.019405125766654294
-1.533581691766897,-0.019786910508871883,-0.01937444006878172
-1.5311619708897428,-0.019703254340239548,-0.019343868240911537
-1.5287511819715793,-0.019575554378828103,-0.019313409263376855
