date,target,sp500_ret_l1,gold_ret_l1,oil_ret_l1,eur_usd_ret_l1,usd_chf_ret_l1,gdp_growth_l1,cpi_inflation_l1,rate_change_l1
2012-05-25,-0.0012880375311587,0.0019637468546313,-0.0013860016078772,0.0049744067461619,0.0011132316671304137,0.00031392246373004883,0.0,0.0,0.0
2012-05-29,0.0126472509438602,-0.0032498233643078,0.0083528388567483,-0.0011682244319264,-0.00517908810732106,0.00355091756924661,0.0,0.0,0.0
2012-05-30,-0.0084671805486623,0.0120392725796177,-0.0109319495017495,0.0002921840780465,-0.0023994252893788865,0.0026029480051315335,0.0,0.0,0.0
2012-05-31,-0.0043411918005249,-0.0146163982385126,0.0058759618442916,-0.0359890140501117,-0.006668566069366627,0.0067361257871578215,0.0,0.0,0.0
2012-06-01,-0.0269635585573325,-0.0022033971608719,-0.0019108495914134,-0.0124944486907542,-0.003310592873894491,0.0031967029026910257,0.0,0.0,0.0
2012-06-04,0.0076023420429314,-0.0254992053884638,0.0380480676375299,-0.0368561389917514,0.004519052235462976,-0.004333477685367422,0.0,-0.0008267047975740082,0.0
2012-06-05,0.0040987023524319,-0.0004682744173605,-0.001143510702079,0.0104447855694587,0.006020487781583025,-0.006327493752625032,0.0,0.0,0.0
2012-06-06,0.022647360695011,0.0075436839444078,-0.0011448198159333,0.0,-0.004652663615311779,0.004775260813029219,0.0,0.0,0.0
2012-06-07,-0.0040067366689152,0.0222197311816417,0.000445363455747,0.0122048143046933,0.007848830938652743,-0.008006281394475774,0.0,0.0,0.0
2012-06-08,0.009589333510609,0.0006060147144031,-0.0173883948656223,-0.0134650539169811,0.0026291693430631822,-0.002194702244788149,0.0,0.0,0.0
2012-06-11,-0.0170848350551832,0.0079200866579246,0.0014875661637811,0.0025188930194839,-0.006866294441468708,0.006465764521648569,0.0,0.0,0.0
2012-06-12,0.0121418288972691,-0.0127785187455192,0.0040633420414337,-0.035236209013403,0.0017609866073243082,-0.0016645863186082236,0.0,0.0,0.0
2012-06-13,-0.0068971321614531,0.0114252368308468,0.0070515468605996,0.0230554050821822,-0.002161643690291097,0.0020803003133710364,0.0,0.0,0.0
2012-06-14,0.0036950801139731,-0.0064153584306805,0.0042132932025414,-0.0100776666697218,0.009492353809893928,-0.009500515160936676,0.0,0.0,0.0
2012-06-15,0.0100519394442618,0.0105446484303471,0.0040016568151667,0.0200547864099157,0.0009522298767449686,-0.0008395424986764924,0.0,0.0,0.0
2012-06-18,0.0093229718488188,0.005007297185531,0.0005703602930373,-0.0031565682775467,0.0019809047323772065,-0.0019967428209469356,0.0,0.0,0.0
2012-06-19,0.0103115474095327,0.001936397417458,0.0005700351676032,-0.009849166194955,-0.004363181726588814,0.004303790824078364,0.0,0.0,0.0
2012-06-20,0.0007935952614058,0.009626138751774,-0.0048875021917042,0.0114286958236226,0.009022617599637552,-0.009048883293588912,0.0,0.0,0.0
2012-06-21,-0.0252021528677183,-0.0016225388912524,-0.0076007136265249,-0.0382868059460617,0.0008663123203744401,-0.0008459342790599558,0.0,0.0,0.0
2012-06-22,0.0104729614812709,-0.0226943152705254,-0.0256844808758978,-0.0345350860265127,-0.009253100936581889,0.009370955650668032,0.0,0.0,0.0
