theoretical_quantile_t,sample_quantile,reference_line
-2.3453148157853674,-2.2075151130715365,-1.8858446392536445
-2.337784268496473,-2.2015619411373324,-1.8798000159488502
-2.330333316524632,-2.2010522720218053,-1.8738192822512716
-2.322960285249232,-2.186092186010707,-1.867901093975635
-2.315663551657242,-2.1835937587345504,-1.8620441483610624
-2.3084415422595117,-2.168057812781607,-1.8562471823985294
-2.3012927311107116,-2.1648317387463454,-1.8505089712415077
-2.294215637926771,-2.163287438284147,-1.8448283266948704
-2.287208826294153,-2.157829021637238,-1.839204095777512
-2.280270901965645,-2.1539221419678722,-1.833635159354412
-2.273400511237722,-2.142656270754632,-1.8281204308341763
-2.266596339404851,-2.142496208504423,-1.8226588549283385
-2.2598571092864175,-2.1248190372397047,-1.8172494064689504
-2.2531815798222348,-2.122555278745672,-1.8118910892812274
-2.2465685447328414,-2.1069030583782875,-1.806582935108194
-2.2400168312410496,-2.1062665200040445,-1.8013240025844945
-2.2335252988514425,-2.09936784964295,-1.796113376256722
-2.227092838184671,-2.0973676770175134,-1.790950165647729
-2.220718369863672,-2.096471119879161,-1.7858335043626177
-2.214400843449033,-2.091328588658131,-1.7807625492341774
-2.2081392364209633,-2.066908922699719,-1.7757364795057322
-2.2019325532054213,-2.0664205620326688,-1.770754496049434
-2.1957798242421562,-2.0637802239951646,-1.765815820618196
-2.1896801050925006,-2.04982238521643,-1.7609196951295365
-2.1836324755849175,-2.023679776452273,-1.7560653809797255
-2.1776360389964076,-1.9979599005271598,-1.7512521583867164
-2.171689921267975,-1.996465321045604,-1.7464793257604154
-2.1657932702524967,-1.988331792401643,-1.7417461990989622
-2.1599452549933815,-1.9858215594636253,-1.7370521114097217
-2.154145065032544,-1.9850408134648463,-1.7323964121538098
-2.148391909746264,-1.983879713775878,-1.727778466713
-2.1426850177076133,-1.9718014446812897,-1.7231976558779567
-2.1370236360741766,-1.9614134156080045,-1.7186533753567685
-2.131407029999876,-1.9556578014771135,-1.7141450353028345
-2.125834482069787,-1.9434427855625855,-1.7096720598611985
-2.120305291756859,-1.9429102023596512,-1.7052338867324726
-2.1148187748995464,-1.9410876149381233,-1.7008299667535398
-2.1093742631993995,-1.9283113412820103,-1.6964597634942802
-2.103971103737684,-1.924649142692316,-1.692122752869571
-2.0986086585102104,-1.914315060798531,-1.6878184227659048
-2.093286303979524,-1.8990263776111675,-1.6835462726819381
-2.0880034306437176,-1.8968531039262555,-1.679305813382388
