model,fold_id,date,actual,forecast,forecast_error,predicted_direction,actual_direction,direction_correct,position,previous_position,turnover,gross_return,transaction_cost,net_return,cumulative_gross,cumulative_net
phase5_patchtst,2,2020-06-01,0.0029951671604067087,8.43784655444324e-05,0.0029107886366546154,1.0,1.0,True,1.0,-1.0,2.0,0.0029951671604067087,0.001,0.0019951671604067087,1.431353939777904,1.413605809681018
phase5_patchtst,2,2020-06-02,0.006685284897685051,-0.0006189299747347832,0.007304214872419834,-1.0,1.0,False,-1.0,1.0,2.0,-0.006685284897685051,0.001,-0.007685284897685051,1.4217849309010648,1.4027418463005967
phase5_patchtst,2,2020-06-03,0.004488490056246519,-8.145399624481797e-05,0.004569943994283676,-1.0,1.0,False,-1.0,-1.0,0.0,-0.004488490056246519,0.0,-0.004488490056246519,1.4154032633765943,1.3964456534719956
phase5_patchtst,2,2020-06-04,-0.007038102485239506,-0.0007042823126539588,-0.006333820056170225,-1.0,-1.0,True,-1.0,-1.0,0.0,0.007038102485239506,0.0,0.007038102485239506,1.4253650166021812,1.4062739810961986
phase5_patchtst,2,2020-06-05,0.019633255898952484,0.0001381375186610967,0.019495118409395218,1.0,1.0,True,1.0,-1.0,2.0,0.019633255898952484,0.001,0.018633255898952483,1.4533495727225465,1.432477444050003
phase5_patchtst,2,2020-06-08,0.007730068638920784,-0.0002247918746434152,0.007954860106110573,-1.0,1.0,False,-1.0,1.0,2.0,-0.007730068638920784,0.001,-0.008730068638920785,1.442115080769055,1.4199718176397407
phase5_patchtst,2,2020-06-09,0.007218758575618267,-0.00035829097032546997,0.007577049545943737,-1.0,1.0,False,-1.0,-1.0,0.0,-0.007218758575618267,0.0,-0.007218758575618267,1.431704800162725,1.4097213839040175
phase5_patchtst,2,2020-06-10,0.011930195614695549,-0.00010805181227624416,0.012038247659802437,-1.0,1.0,False,-1.0,-1.0,0.0,-0.011930195614695549,0.0,-0.011930195614695549,1.4146242818342851,1.3929031320318233
phase5_patchtst,2,2020-06-11,-0.05081886798143387,-0.0005318226758390665,-0.050287045538425446,-1.0,-1.0,True,-1.0,-1.0,0.0,0.05081886798143387,0.0,0.05081886798143387,1.4865138864561525,1.4636888924094742
phase5_patchtst,2,2020-06-12,0.007916619069874287,0.00022919315961189568,0.007687425706535578,1.0,1.0,True,1.0,-1.0,2.0,0.007916619069874287,0.001,0.006916619069874287,1.4982820506373042,1.473812670915077
phase5_patchtst,2,2020-06-15,0.012093777768313885,6.10788119956851e-05,0.012032698839902878,1.0,1.0,True,1.0,1.0,0.0,0.012093777768313885,0.0,0.012093777768313885,1.5164019407919653,1.491636633829249
phase5_patchtst,2,2020-06-16,0.0170269887894392,0.00013049534754827619,0.01689649373292923,1.0,1.0,True,1.0,1.0,0.0,0.0170269887894392,0.0,0.0170269887894392,1.542221699638114,1.5170347140713765
